section,offering,utensil,material,count,number,quantity,measurement,type of substance,position,occasion,personnel ,deity,Day,Month,MonthName,frequency tag,decorations,text,additional
10,duck eggs,,,1,3,,,egg,,tardennu morning,priest,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,
11,fat pure sheep,,,1,4,,,livestock,,rabu evening,priest,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,fed barley for 2 years
11,kalu sheep,,,1,1,,,livestock,,rabu evening,priest,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,fattened with milk
11,lesser quality sheep,,,1,5,,,livestock,,rabu evening,priest,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,
11,turtledoves,,,1,10,,,bird,,rabu evening,priest,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,
12,fat pure sheep,,,1,4,,,livestock,,tardennu evening,priest,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,fed barley for 2 years
12,kalu sheep,,,1,1,,,livestock,,tardennu evening,priest,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,fattened with milk
12,lesser quality sheep,,,1,5,,,livestock,,tardennu evening,priest,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,
12,turtledoves,,,1,10,,,bird,,tardennu evening,priest,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,
13,fat pure sheep,,,1,10,,,livestock,bit mahazzat,moonrise,priest,Anu of Heaven; Antu of Heaven; Jupiter; Venus; Mercury; Saturn; Mars,365,12,,every day entire year,,TU 38,horns and hooves are perfect
13,fat pure sheep,,,1,10,,,livestock,bit mahazzat,sunrise,priest,Anu of Heaven; Antu of Heaven; Jupiter; Venus; Mercury; Saturn; Mars,365,12,,every day entire year,,TU 38,horns and hooves are perfect
14,first quality sheep,,,1,10,,,livestock,Baramah,cleansing of the hands ceremony,priest,Anu of Heaven; Antu of Heaven; Jupiter; Venus; Mercury; Saturn; Mars; the Sun; the Moon,16,12,,Day 16 monthly,,TU 38,horns and hooves are perfect; offered as cooked meat
15,oxen,,,1,"plural, unspecified",,,livestock,,additional offerings of the king,,,,,,,,TU 38,"""not included"""
15,sheep,,,1,"plural, unspecified",,,livestock,,additional offerings of the king,,,,,,,,TU 38,"""not included"""
15,oxen,,,1,"plural, unspecified",,,livestock,,brazier ceremony,,,,,,,,TU 38,"""not included"""
15,sheep,,,1,"plural, unspecified",,,livestock,,brazier ceremony,,,,,,,,TU 38,"""not included"""
15,oxen,,,1,"plural, unspecified",,,livestock,,clothing ceremony,,,,,,,,TU 38,"""not included"""
15,sheep,,,1,"plural, unspecified",,,livestock,,clothing ceremony,,,,,,,,TU 38,"""not included"""
15,oxen,,,1,"plural, unspecified",,,livestock,,esheshu ceremony,,,,,,,,TU 38,"""not included"""
15,sheep,,,1,"plural, unspecified",,,livestock,,esheshu ceremony,,,,,,,,TU 38,"""not included"""
15,oxen,,,1,"plural, unspecified",,,livestock,,guqqu offering,,,,,,,,TU 38,"""not included"""
15,sheep,,,1,"plural, unspecified",,,livestock,,guqqu offering,,,,,,,,TU 38,"""not included"""
15,oxen,,,1,"plural, unspecified",,,livestock,,holy water basin ceremony,,,,,,,,TU 38,"""not included"""
15,sheep,,,1,"plural, unspecified",,,livestock,,holy water basin ceremony,,,,,,,,TU 38,"""not included"""
15,oxen,,,1,"plural, unspecified",,,livestock,,night vigil ceremony,,,,,,,,TU 38,"""not included"""
15,sheep,,,1,"plural, unspecified",,,livestock,,night vigil ceremony,,,,,,,,TU 38,"""not included"""
15,oxen,,,1,"plural, unspecified",,,livestock,,offerings of the karibus,,,,,,,,TU 38,"""not included"""
15,sheep,,,1,"plural, unspecified",,,livestock,,offerings of the karibus,,,,,,,,TU 38,"""not included"""
15,oxen,,,1,"plural, unspecified",,,livestock,,opening of the gate ceremony,,,,,,,,TU 38,"""not included"""
15,sheep,,,1,"plural, unspecified",,,livestock,,opening of the gate ceremony,,,,,,,,TU 38,"""not included"""
15,sheep,,,1,"plural, unspecified",,,livestock,Eanna and other temples of the Tiranna,regular offerings,,,365,12,,every day entire year,,TU 38,"""not included"""
15,oxen,,,1,"plural, unspecified",,,livestock,,rites of divine marriage,,,,,,,,TU 38,"""not included"""
15,sheep,,,1,"plural, unspecified",,,livestock,,rites of divine marriage,,,,,,,,TU 38,"""not included"""
